Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%
GET,/,41,0,170,171.7726602,164.784401,181.434655,2976,0.137472311,0,170,170,170,170,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-328/RED/1,2,0,182.876387,186.485117,182.876387,190.093847,133,0.006705966,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-329/STAN-1/1,1,0,181.67178,181.67178,181.67178,181.67178,191,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-329/UHJ/1,1,0,178.287185,178.287185,178.287185,178.287185,138,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-330/RMC/1,1,0,182.047867,182.047867,182.047867,182.047867,202,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-330/SHCE/1,1,0,183.65373,183.65373,183.65373,183.65373,124,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-331/HPTD/1,2,0,172.145226,174.9849845,172.145226,177.824743,121,0.006705966,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-332/HPTD/1,1,0,178.773938,178.773938,178.773938,178.773938,121,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-332/SHCE/1,1,0,179.464366,179.464366,179.464366,179.464366,213,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-333/RMC/1,1,0,199.618216,199.618216,199.618216,199.618216,108,0.003352983,0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/cart/add/anonymous-333/UHJ/1,1,0,178.658451,178.658451,178.658451,178.658451,216,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-334/RMC/1,1,0,181.903931,181.903931,181.903931,181.903931,202,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-334/SHCE/1,1,0,175.120368,175.120368,175.120368,175.120368,124,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-335/EPE/1,1,0,181.574121,181.574121,181.574121,181.574121,129,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-335/RMC/1,1,0,180.527762,180.527762,180.527762,180.527762,207,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-336/RED/1,1,0,181.941714,181.941714,181.941714,181.941714,202,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-336/Watson/1,1,0,180.736016,180.736016,180.736016,180.736016,106,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-337/RED/1,2,0,180,179.282288,177.727425,180.837151,133,0.006705966,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-338/EPE/1,1,0,186.84874,186.84874,186.84874,186.84874,129,0.003352983,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-338/STAN-1/1,1,0,185.578528,185.578528,185.578528,185.578528,179,0.003352983,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-339/RED/1,1,0,182.555615,182.555615,182.555615,182.555615,225,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-339/SHCE/1,1,0,181.228818,181.228818,181.228818,181.228818,124,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-340/RED/1,1,0,183.606587,183.606587,183.606587,183.606587,132,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-340/Watson/1,1,0,176.593506,176.593506,176.593506,176.593506,202,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-341/HPTD/1,1,0,185.978017,185.978017,185.978017,185.978017,200,0.003352983,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-341/STAN-1/1,1,0,182.415122,182.415122,182.415122,182.415122,111,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-342/EPE/1,1,0,182.942456,182.942456,182.942456,182.942456,129,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-342/RED/1,1,0,180.304835,180.304835,180.304835,180.304835,201,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-343/EMM/1,1,0,180.592948,180.592948,180.592948,180.592948,229,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-343/SHCE/1,1,0,182.779871,182.779871,182.779871,182.779871,124,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-344/EPE/1,1,0,183.115533,183.115533,183.115533,183.115533,207,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-344/RMC/1,1,0,181.927334,181.927334,181.927334,181.927334,108,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-345/EMM/1,1,0,179.523414,179.523414,179.523414,179.523414,137,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-345/STAN-1/1,1,0,177.245007,177.245007,177.245007,177.245007,201,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-346/EMM/1,1,0,178.944914,178.944914,178.944914,178.944914,223,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-346/HPTD/1,1,0,185.496934,185.496934,185.496934,185.496934,121,0.003352983,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-347/HPTD/1,1,0,180.644001,180.644001,180.644001,180.644001,226,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-347/UHJ/1,1,0,181.255673,181.255673,181.255673,181.255673,138,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-348/RED/1,1,0,177.968902,177.968902,177.968902,177.968902,202,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-348/Watson/1,1,0,177.064981,177.064981,177.064981,177.064981,106,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-349/EMM/1,1,0,186.466977,186.466977,186.466977,186.466977,137,0.003352983,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-349/UHJ/1,1,0,178.890058,178.890058,178.890058,178.890058,214,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-350/UHJ/1,2,0,182.229481,183.2206825,182.229481,184.211884,139.5,0.006705966,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-351/SHCE/1,1,0,182.466492,182.466492,182.466492,182.466492,124,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-351/UHJ/1,1,0,181.559378,181.559378,181.559378,181.559378,230,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-352/RED/1,2,0,180,181.456777,179.8671,183.046454,133,0.006705966,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-353/EPE/1,1,0,177.073834,177.073834,177.073834,177.073834,129,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-353/HPTD/1,1,0,178.760189,178.760189,178.760189,178.760189,217,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-354/EPE/1,1,0,185.005062,185.005062,185.005062,185.005062,220,0.003352983,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-354/UHJ/1,1,0,185.235763,185.235763,185.235763,185.235763,138,0.003352983,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-355/EMM/1,1,0,181.598634,181.598634,181.598634,181.598634,137,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-355/STAN-1/1,1,0,180.50148,180.50148,180.50148,180.50148,201,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-356/EMM/1,2,0,180,179.8555355,179.291691,180.41938,137,0.006705966,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-357/EPE/1,1,0,182.155184,182.155184,182.155184,182.155184,222,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-357/SHCE/1,1,0,178.843426,178.843426,178.843426,178.843426,124,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-358/EPE/1,1,0,179.935131,179.935131,179.935131,179.935131,129,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-358/Watson/1,1,0,188.836703,188.836703,188.836703,188.836703,200,0.003352983,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-359/UHJ/1,1,0,177.872021,177.872021,177.872021,177.872021,209,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-359/Watson/1,1,0,181.59774,181.59774,181.59774,181.59774,106,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-360/HPTD/1,1,0,183.219914,183.219914,183.219914,183.219914,213,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-360/SHCE/1,1,0,183.474653,183.474653,183.474653,183.474653,124,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-361/UHJ/1,2,0,182.355975,183.6297245,182.355975,184.903474,139.5,0.006705966,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-362/EPE/1,2,0,180,181.018922,177.960101,184.077743,129.5,0.006705966,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-363/EMM/1,1,0,183.646467,183.646467,183.646467,183.646467,223,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-363/HPTD/1,1,0,184.433763,184.433763,184.433763,184.433763,121,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-364/RMC/1,1,0,180.175723,180.175723,180.175723,180.175723,184,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-364/Watson/1,1,0,180.658163,180.658163,180.658163,180.658163,106,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-365/SHCE/1,1,0,178.16127,178.16127,178.16127,178.16127,230,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-365/UHJ/1,1,0,176.419802,176.419802,176.419802,176.419802,138,0.003352983,0,180,180,180,180,180,180,180,180,180,180,180
