Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5,0,350.0,315.2276936000004,178.3927700000021,351.9720909999999,2976.0,0.2002822543129811,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/api/cart/add/anonymous-158/STAN-1/1,1,0,177.90611200000052,177.90611200000052,177.90611200000052,177.90611200000052,111.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-158/UHJ/1,1,0,179.14762500000057,179.14762500000057,179.14762500000057,179.14762500000057,191.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-159/EMM/1,1,0,178.41461699999962,178.41461699999962,178.41461699999962,178.41461699999962,214.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-159/UHJ/1,1,0,181.92687700000045,181.92687700000045,181.92687700000045,181.92687700000045,138.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-160/EMM/1,1,0,186.5449720000001,186.5449720000001,186.5449720000001,186.5449720000001,229.0,0.04005645086259622,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-160/SHCE/1,1,0,182.79903699999878,182.79903699999878,182.79903699999878,182.79903699999878,124.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-161/RMC/1,1,0,180.6489589999991,180.6489589999991,180.6489589999991,180.6489589999991,216.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-161/UHJ/1,1,0,205.57796199999956,205.57796199999956,205.57796199999956,205.57796199999956,138.0,0.04005645086259622,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/cart/add/anonymous-162/EPE/1,1,0,176.3815020000017,176.3815020000017,176.3815020000017,176.3815020000017,220.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-162/UHJ/1,1,0,183.51873900000015,183.51873900000015,183.51873900000015,183.51873900000015,138.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/cart/anonymous-158,1,0,167.6089439999995,167.6089439999995,167.6089439999995,167.6089439999995,191.0,0.04005645086259622,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/cart/anonymous-159,1,0,169.47970900000087,169.47970900000087,169.47970900000087,169.47970900000087,214.0,0.04005645086259622,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/cart/anonymous-160,1,0,172.69438199999954,172.69438199999954,172.69438199999954,172.69438199999954,229.0,0.04005645086259622,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/cart/anonymous-161,1,0,170.08751299999858,170.08751299999858,170.08751299999858,170.08751299999858,216.0,0.04005645086259622,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/cart/anonymous-162,1,0,168.6232160000003,168.6232160000003,168.6232160000003,168.6232160000003,220.0,0.04005645086259622,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/update/anonymous-158/UHJ/2,1,0,167.9489590000003,167.9489590000003,167.9489590000003,167.9489590000003,206.0,0.04005645086259622,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/update/anonymous-159/EMM/2,1,0,169.2981629999988,169.2981629999988,169.2981629999988,169.2981629999988,227.0,0.04005645086259622,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/update/anonymous-160/EMM/2,1,0,175.83923000000112,175.83923000000112,175.83923000000112,175.83923000000112,229.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/update/anonymous-161/RMC/2,1,0,184.49709900000144,184.49709900000144,184.49709900000144,184.49709900000144,216.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/update/anonymous-162/EPE/2,1,0,177.313453,177.313453,177.313453,177.313453,208.0,0.04005645086259622,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/catalogue/categories,5,0,1700.0,1583.4118071999997,785.1358910000004,2361.238124,35.0,0.2002822543129811,0.0,1700,2200,2200,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/catalogue/product/EMM,2,0,1921.8422979999996,2613.888288,1921.8422979999996,3305.9342780000006,209.0,0.08011290172519243,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
GET,/api/catalogue/product/EPE,1,0,2613.9154750000025,2613.9154750000025,2613.9154750000025,2613.9154750000025,194.0,0.04005645086259622,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/catalogue/product/RMC,1,0,2751.8533210000023,2751.8533210000023,2751.8533210000023,2751.8533210000023,198.0,0.04005645086259622,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/api/catalogue/product/SHCE,1,0,3277.729483999999,3277.729483999999,3277.729483999999,3277.729483999999,183.0,0.04005645086259622,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
GET,/api/catalogue/product/STAN-1,1,0,2016.5614939999994,2016.5614939999994,2016.5614939999994,2016.5614939999994,173.0,0.04005645086259622,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/catalogue/product/UHJ,4,0,2000.0,1870.2498287499993,1154.2668209999983,2187.2653789999995,189.0,0.16022580345038487,0.0,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/catalogue/products,5,0,1500.0,2000.16034,1055.9565719999996,3175.538812,2196.0,0.2002822543129811,0.0,1500,2800,2800,3200,3200,3200,3200,3200,3200,3200,3200
POST,/api/payment/pay/anonymous-158,1,0,4585.272993000002,4585.272993000002,4585.272993000002,4585.272993000002,51.0,0.04005645086259622,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
