Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1660768233,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660768234,1,,Aggregated,0.000000,0.000000,350,350,350,350,350,350,350,350,350,350,350,2,0,170.0,260.55224499999997,169.132399,351.9720909999999,1500.0
1660768235,2,,Aggregated,0.000000,0.000000,350,350,350,350,350,350,350,350,350,350,350,2,0,170.0,260.55224499999997,169.132399,351.9720909999999,1500.0
1660768236,3,,Aggregated,2.000000,0.000000,350,350,350,2200,2200,2200,2200,2200,2200,2200,2200,5,0,350.0,647.9745809999997,169.132399,2201.1964099999996,1207.0
1660768237,4,,Aggregated,2.000000,0.000000,350,350,790,790,2200,2200,2200,2200,2200,2200,2200,8,0,350.0,568.8106849999999,169.132399,2201.1964099999996,1133.75
1660768238,5,,Aggregated,1.333333,0.000000,350,350,840,840,1500,2200,2200,2200,2200,2200,2200,12,0,350.0,614.0990578333334,169.132399,2201.1964099999996,1191.75
1660768239,5,,Aggregated,2.000000,0.000000,350,840,1500,1500,2200,3200,3200,3200,3200,3200,3200,14,0,350.0,859.7275992142856,169.132399,3175.538812,1335.2142857142858
1660768240,5,,Aggregated,2.200000,0.000000,350,840,1500,2000,2400,3200,3200,3200,3200,3200,3200,18,0,350.0,931.2893883333332,169.132399,3175.538812,1053.888888888889
1660768241,5,,Aggregated,2.200000,0.000000,350,840,1500,2000,2400,3200,3200,3200,3200,3200,3200,20,0,350.0,864.7518114500001,169.132399,3175.538812,960.0
1660768242,5,,Aggregated,2.000000,0.000000,350,840,1500,2000,2200,2400,3200,3200,3200,3200,3200,23,0,350.0,855.0361684782608,169.132399,3175.538812,848.6086956521739
1660768243,5,,Aggregated,2.500000,0.000000,200,790,1500,1900,2400,3200,3300,3300,3300,3300,3300,37,0,200.0,828.2589294594593,169.132399,3277.729483999999,659.8108108108108
1660768244,5,,Aggregated,2.500000,0.000000,200,350,1500,1900,2400,3200,3300,3300,3300,3300,3300,40,0,200.0,780.8510837499998,167.6089439999995,3277.729483999999,645.9
1660768245,5,,Aggregated,2.500000,0.000000,200,350,1500,1900,2400,3200,3300,3300,3300,3300,3300,40,0,200.0,780.8510837499998,167.6089439999995,3277.729483999999,645.9
1660768246,5,,Aggregated,3.800000,0.000000,250,790,1500,2000,2400,3200,3300,3300,3300,3300,3300,50,0,210.0,849.9624603199998,167.6089439999995,3305.9342780000006,78867.96
1660768247,5,,Aggregated,3.800000,0.000000,200,350,1500,1900,2200,3200,3300,3300,3300,3300,3300,55,0,200.0,789.2317306181817,167.6089439999995,3305.9342780000006,71734.78181818181
1660768248,5,,Aggregated,3.800000,0.000000,200,350,1500,1900,2200,3200,3300,3300,3300,3300,3300,55,0,200.0,789.2317306181817,167.6089439999995,3305.9342780000006,71734.78181818181
1660768249,5,,Aggregated,4.600000,0.000000,190,350,1400,1900,2400,2900,3300,3300,3300,3300,3300,66,0,190.0,786.1613362424241,165.89212599999925,3305.9342780000006,75882.81818181818
1660768250,5,,Aggregated,4.600000,0.000000,190,350,1400,1900,2400,2900,3300,3300,3300,3300,3300,67,0,190.0,777.1043829104476,165.89212599999925,3305.9342780000006,74765.55223880598
1660768251,5,,Aggregated,4.800000,0.000000,190,350,1500,1900,2400,3200,3300,4600,4600,4600,4600,72,0,190.0,835.8689097777776,165.89212599999925,4585.272993000002,84281.66666666667
1660768252,5,,Aggregated,5.200000,0.000000,200,350,1400,1900,2400,3200,3300,4600,4600,4600,4600,74,0,190.0,830.2532299594593,165.89212599999925,4585.272993000002,82033.67567567568
1660768253,5,,Aggregated,4.800000,0.000000,200,670,1500,1900,2800,3300,4200,4600,4600,4600,4600,75,0,200.0,875.305628,165.89212599999925,4585.272993000002,80940.57333333333
