Method,Name,Error,Occurrences
GET,/api/shipping/cities/it,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/it'),1
GET,/api/shipping/cities/cz,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/cz'),1
POST,/api/shipping/confirm/anonymous-8,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/confirm/anonymous-8'),1
GET,/api/shipping/calc/3850682,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/calc/3850682'),1
GET,/api/shipping/cities/ca,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/ca'),1
GET,/api/shipping/cities/gb,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/gb'),1
GET,/api/shipping/cities/ro,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/ro'),2
GET,/api/shipping/codes,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/codes'),69
GET,/api/shipping/cities/at,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/at'),2
GET,/api/shipping/cities/tr,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/tr'),1
GET,/api/shipping/calc/3931703,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/calc/3931703'),1
GET,/api/shipping/cities/cz,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/cz'),1
GET,/api/shipping/codes,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/codes'),117
GET,/api/shipping/calc/4388875,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/calc/4388875'),1
GET,/api/shipping/cities/de,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/de'),3
GET,/api/shipping/cities/se,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/se'),1
GET,/api/shipping/calc/3307068,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/calc/3307068'),1
GET,/api/shipping/cities/it,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/it'),1
GET,/api/shipping/cities/dk,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/dk'),1
GET,/api/shipping/cities/ro,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/ro'),1
GET,/api/shipping/cities/pt,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/pt'),1
GET,/api/shipping/calc/4050976,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/calc/4050976'),1
GET,/api/shipping/cities/in,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/in'),1
GET,/api/shipping/calc/3349062,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/calc/3349062'),1
GET,/api/shipping/cities/fr,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/fr'),1
GET,/api/shipping/cities/es,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/es'),2
GET,/api/shipping/cities/us,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/us'),1
GET,/api/shipping/cities/bg,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/bg'),1
GET,/api/shipping/cities/br,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/br'),2
GET,/api/shipping/cities/fi,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/fi'),1
GET,/api/shipping/cities/no,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/no'),2
GET,/api/shipping/calc/3397605,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/calc/3397605'),1
GET,/api/shipping/cities/jp,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/jp'),2
GET,/api/shipping/cities/ru,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/ru'),1
GET,/api/shipping/cities/at,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/at'),1
GET,/api/shipping/cities/ch,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/ch'),1
GET,/api/shipping/cities/tr,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/tr'),2
GET,/api/shipping/cities/us,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/us'),2
GET,/api/shipping/cities/de,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/de'),2
GET,/api/shipping/cities/hu,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/hu'),1
GET,/api/shipping/cities/ru,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/cities/ru'),1
GET,/api/shipping/cities/hu,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/cities/hu'),1
GET,/api/shipping/calc/5078985,HTTPError('502 Server Error: Bad Gateway for url: http://153.78.97.118:8080/api/shipping/calc/5078985'),1
POST,/api/shipping/confirm/anonymous-9,HTTPError('504 Server Error: Gateway Time-out for url: http://153.78.97.118:8080/api/shipping/confirm/anonymous-9'),1
