Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,327,0,170.0,204.72947497859315,166.93098199999667,511.55771599999997,2976.0,1.0953911721075476,0.0,170,180,180,200,340,350,360,370,510,510,510
GET,/api/cart/add/anonymous-10/EMM/1,1,0,175.26391699999877,175.26391699999877,175.26391699999877,175.26391699999877,137.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,180.94468299999988,180.94468299999988,180.94468299999988,180.94468299999988,229.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-100/EPE/1,1,0,181.41419299999484,181.41419299999484,181.41419299999484,181.41419299999484,222.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-100/SHCE/1,1,0,185.5186199999963,185.5186199999963,185.5186199999963,185.5186199999963,124.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-101/HPTD/1,1,0,204.24967900001434,204.24967900001434,204.24967900001434,204.24967900001434,219.0,0.0033498200981882187,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/cart/add/anonymous-101/RED/1,1,0,181.59023999999135,181.59023999999135,181.59023999999135,181.59023999999135,132.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-102/RMC/1,1,0,178.40625600001658,178.40625600001658,178.40625600001658,178.40625600001658,190.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-102/STAN-1/1,1,0,177.90520799999854,177.90520799999854,177.90520799999854,177.90520799999854,111.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-103/RMC/1,1,0,204.25072000000455,204.25072000000455,204.25072000000455,204.25072000000455,108.0,0.0033498200981882187,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/cart/add/anonymous-103/STAN-1/1,1,0,178.73340799999937,178.73340799999937,178.73340799999937,178.73340799999937,190.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-104/SHCE/1,1,0,179.5574369999997,179.5574369999997,179.5574369999997,179.5574369999997,124.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-104/UHJ/1,1,0,185.60167100000058,185.60167100000058,185.60167100000058,185.60167100000058,230.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-105/RED/1,1,0,192.79226300000118,192.79226300000118,192.79226300000118,192.79226300000118,132.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-105/SHCE/1,1,0,183.7933059999841,183.7933059999841,183.7933059999841,183.7933059999841,225.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-106/EPE/1,1,0,188.85859799999594,188.85859799999594,188.85859799999594,188.85859799999594,201.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-106/RED/1,1,0,181.78354099998728,181.78354099998728,181.78354099998728,181.78354099998728,132.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-107/EPE/1,1,0,184.85813899999926,184.85813899999926,184.85813899999926,184.85813899999926,179.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-107/STAN-1/1,1,0,180.1079159999972,180.1079159999972,180.1079159999972,180.1079159999972,111.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-108/EMM/1,1,0,198.53326899999502,198.53326899999502,198.53326899999502,198.53326899999502,206.0,0.0033498200981882187,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/cart/add/anonymous-108/Watson/1,1,0,183.48107300002425,183.48107300002425,183.48107300002425,183.48107300002425,106.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-109/HPTD/1,1,0,215.74901599998952,215.74901599998952,215.74901599998952,215.74901599998952,200.0,0.0033498200981882187,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/cart/add/anonymous-109/STAN-1/1,1,0,175.67731599999092,175.67731599999092,175.67731599999092,175.67731599999092,111.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-11/EMM/1,1,0,187.77639199999996,187.77639199999996,187.77639199999996,187.77639199999996,137.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-11/RED/1,1,0,184.15273700000512,184.15273700000512,184.15273700000512,184.15273700000512,221.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-110/RED/1,1,0,184.21760399999698,184.21760399999698,184.21760399999698,184.21760399999698,202.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-110/Watson/1,1,0,179.25410799998076,179.25410799998076,179.25410799998076,179.25410799998076,106.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-111/EPE/1,1,0,185.75089300000514,185.75089300000514,185.75089300000514,185.75089300000514,217.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-111/HPTD/1,1,0,183.6909339999977,183.6909339999977,183.6909339999977,183.6909339999977,121.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-112/UHJ/1,1,0,185.38581999999337,185.38581999999337,185.38581999999337,185.38581999999337,209.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-112/Watson/1,1,0,186.4257789999897,186.4257789999897,186.4257789999897,186.4257789999897,106.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-113/EPE/1,1,0,183.8443680000239,183.8443680000239,183.8443680000239,183.8443680000239,129.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-113/Watson/1,1,0,189.00410899999542,189.00410899999542,189.00410899999542,189.00410899999542,200.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-114/EMM/1,1,0,179.04306100001577,179.04306100001577,179.04306100001577,179.04306100001577,221.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-114/RED/1,1,0,612.0074339999917,612.0074339999917,612.0074339999917,612.0074339999917,132.0,0.0033498200981882187,0.0,610,610,610,610,610,610,610,610,610,610,610
GET,/api/cart/add/anonymous-115/EPE/1,1,0,182.5768289999985,182.5768289999985,182.5768289999985,182.5768289999985,179.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-115/STAN-1/1,1,0,574.2711930000155,574.2711930000155,574.2711930000155,574.2711930000155,111.0,0.0033498200981882187,0.0,570,570,570,570,570,570,570,570,570,570,570
GET,/api/cart/add/anonymous-116/EPE/1,1,0,186.13361100000247,186.13361100000247,186.13361100000247,186.13361100000247,129.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-116/UHJ/1,1,0,186.0979110000187,186.0979110000187,186.0979110000187,186.0979110000187,220.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-117/SHCE/1,1,0,187.927454000004,187.927454000004,187.927454000004,187.927454000004,203.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-117/STAN-1/1,1,0,179.64240399999198,179.64240399999198,179.64240399999198,179.64240399999198,111.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-118/EMM/1,1,0,180.14524200000892,180.14524200000892,180.14524200000892,180.14524200000892,206.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-118/Watson/1,1,0,184.16210899999896,184.16210899999896,184.16210899999896,184.16210899999896,106.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-119/RED/1,1,0,226.3241900000139,226.3241900000139,226.3241900000139,226.3241900000139,225.0,0.0033498200981882187,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/cart/add/anonymous-119/SHCE/1,1,0,181.56560399998511,181.56560399998511,181.56560399998511,181.56560399998511,124.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-12/HPTD/1,1,0,185.44718999999787,185.44718999999787,185.44718999999787,185.44718999999787,200.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-12/STAN-1/1,1,0,185.53079699999842,185.53079699999842,185.53079699999842,185.53079699999842,111.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-120/SHCE/1,1,0,178.85424499999658,178.85424499999658,178.85424499999658,178.85424499999658,198.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-120/Watson/1,1,0,180.64010599999847,180.64010599999847,180.64010599999847,180.64010599999847,106.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-121/RED/1,1,0,181.58361400000445,181.58361400000445,181.58361400000445,181.58361400000445,202.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-121/Watson/1,1,0,187.15361099998518,187.15361099998518,187.15361099998518,187.15361099998518,106.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-122/EMM/1,1,0,177.7962099999968,177.7962099999968,177.7962099999968,177.7962099999968,137.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-122/UHJ/1,1,0,180.866855000005,180.866855000005,180.866855000005,180.866855000005,214.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-123/EPE/1,1,0,186.61420000000817,186.61420000000817,186.61420000000817,186.61420000000817,207.0,0.0033498200981882187,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-123/RMC/1,1,0,182.22468199999753,182.22468199999753,182.22468199999753,182.22468199999753,108.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-124/HPTD/1,1,0,181.68433900001446,181.68433900001446,181.68433900001446,181.68433900001446,121.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-124/UHJ/1,1,0,178.4795890000055,178.4795890000055,178.4795890000055,178.4795890000055,226.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-125/SHCE/1,1,0,184.58885500001543,184.58885500001543,184.58885500001543,184.58885500001543,230.0,0.0033498200981882187,0.0,180,180,180,180,180,180,180,180,180,180,180
