Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%
GET,/,51,0,170,187.5392756,165.803155,390.112693,2976,0.1711748,0,170,180,180,180,190,340,350,390,390,390,390
GET,/api/cart/add/anonymous-102/HPTD/1,1,0,181.284762,181.284762,181.284762,181.284762,219,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-102/RED/1,1,0,179.933271,179.933271,179.933271,179.933271,132,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-103/EMM/1,1,0,182.439878,182.439878,182.439878,182.439878,214,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-103/UHJ/1,1,0,181.163662,181.163662,181.163662,181.163662,138,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-104/HPTD/1,1,0,183.665238,183.665238,183.665238,183.665238,121,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-104/SHCE/1,1,0,183.32201,183.32201,183.32201,183.32201,213,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-105/EMM/1,1,0,248.006897,248.006897,248.006897,248.006897,223,0.003356369,0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/cart/add/anonymous-105/HPTD/1,1,0,254.94624,254.94624,254.94624,254.94624,121,0.003356369,0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/cart/add/anonymous-106/EPE/1,1,0,184.240976,184.240976,184.240976,184.240976,129,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-106/RED/1,1,0,181.388237,181.388237,181.388237,181.388237,201,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-107/EMM/1,1,0,177.904294,177.904294,177.904294,177.904294,137,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-107/RMC/1,1,0,180.026821,180.026821,180.026821,180.026821,215,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-108/EPE/1,1,0,181.852688,181.852688,181.852688,181.852688,200,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-108/Watson/1,1,0,180.851761,180.851761,180.851761,180.851761,106,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-109/HPTD/1,1,0,179.683092,179.683092,179.683092,179.683092,226,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-109/UHJ/1,1,0,182.810347,182.810347,182.810347,182.810347,138,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-110/HPTD/1,1,0,184.810228,184.810228,184.810228,184.810228,213,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-110/SHCE/1,1,0,183.789182,183.789182,183.789182,183.789182,124,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-111/RED/1,1,0,183.982201,183.982201,183.982201,183.982201,132,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-111/RMC/1,1,0,185.888547,185.888547,185.888547,185.888547,210,0.003356369,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-112/HPTD/1,1,0,179.825283,179.825283,179.825283,179.825283,121,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-112/Watson/1,1,0,184.160414,184.160414,184.160414,184.160414,193,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-113/HPTD/1,1,0,180.783591,180.783591,180.783591,180.783591,121,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-113/RED/1,1,0,182.373833,182.373833,182.373833,182.373833,219,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-114/EPE/1,1,0,177.430612,177.430612,177.430612,177.430612,217,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-114/HPTD/1,1,0,183.836868,183.836868,183.836868,183.836868,121,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-115/SHCE/1,1,0,181.095434,181.095434,181.095434,181.095434,230,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-115/UHJ/1,1,0,183.823468,183.823468,183.823468,183.823468,138,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-116/HPTD/1,2,0,180.409118,180.8694855,180.409118,181.329853,121,0.006712737,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-117/RMC/1,1,0,183.834163,183.834163,183.834163,183.834163,202,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-117/SHCE/1,1,0,180.161118,180.161118,180.161118,180.161118,124,0.003356369,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-118/RMC/1,1,0,233.325154,233.325154,233.325154,233.325154,190,0.003356369,0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/cart/add/anonymous-118/STAN-1/1,1,0,201.902808,201.902808,201.902808,201.902808,111,0.003356369,0,200,200,200,200,200,200,200,200,200,200,200
