Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%
GET,/,53,0,170,200.0358119,165.289053,923.465819,2976,0.177422561,0,170,170,170,180,190,370,410,920,920,920,920
GET,/api/cart/add/anonymous-275/HPTD/1,1,0,184.687157,184.687157,184.687157,184.687157,121,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-275/UHJ/1,1,0,184.162664,184.162664,184.162664,184.162664,226,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-276/SHCE/1,1,0,181.328563,181.328563,181.328563,181.328563,203,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-276/STAN-1/1,1,0,179.111954,179.111954,179.111954,179.111954,111,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-277/SHCE/1,2,0,178.806027,177.465898,176.125769,178.806027,124.5,0.006695191,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-278/EPE/1,1,0,183.64884,183.64884,183.64884,183.64884,217,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-278/HPTD/1,1,0,174.992984,174.992984,174.992984,174.992984,121,0.003347595,0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/add/anonymous-279/STAN-1/1,1,0,180.474757,180.474757,180.474757,180.474757,191,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-279/UHJ/1,1,0,179.437974,179.437974,179.437974,179.437974,138,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-280/RED/1,1,0,179.114885,179.114885,179.114885,179.114885,209,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-280/UHJ/1,1,0,190.825295,190.825295,190.825295,190.825295,138,0.003347595,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-281/HPTD/1,1,0,182.252943,182.252943,182.252943,182.252943,121,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-281/RMC/1,1,0,192.429667,192.429667,192.429667,192.429667,199,0.003347595,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-282/RED/1,1,0,178.796338,178.796338,178.796338,178.796338,209,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-282/UHJ/1,1,0,183.664591,183.664591,183.664591,183.664591,138,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-283/Watson/1,2,0,180,181.7806105,176.783944,186.777277,105,0.006695191,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-284/STAN-1/1,1,0,176.950922,176.950922,176.950922,176.950922,111,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-284/Watson/1,1,0,176.795079,176.795079,176.795079,176.795079,182,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-285/EPE/1,2,0,174.752245,177.2915905,174.752245,179.830936,129.5,0.006695191,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-286/EPE/1,1,0,187.453452,187.453452,187.453452,187.453452,179,0.003347595,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-286/STAN-1/1,1,0,186.343442,186.343442,186.343442,186.343442,111,0.003347595,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-287/RED/1,1,0,177.696014,177.696014,177.696014,177.696014,225,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-287/SHCE/1,1,0,178.025948,178.025948,178.025948,178.025948,124,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-288/SHCE/1,2,0,189.513219,189.155281,188.797343,189.513219,124.5,0.006695191,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-289/SHCE/1,1,0,189.849297,189.849297,189.849297,189.849297,230,0.003347595,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-289/UHJ/1,1,0,180.799458,180.799458,180.799458,180.799458,138,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-290/EMM/1,1,0,178.677912,178.677912,178.677912,178.677912,229,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-290/SHCE/1,1,0,178.243049,178.243049,178.243049,178.243049,124,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-291/SHCE/1,2,0,180,179.4175425,177.108525,181.72656,124.5,0.006695191,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-292/RED/1,1,0,174.197258,174.197258,174.197258,174.197258,132,0.003347595,0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/add/anonymous-292/STAN-1/1,1,0,175.096862,175.096862,175.096862,175.096862,196,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-293/RED/1,1,0,185.862543,185.862543,185.862543,185.862543,202,0.003347595,0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/cart/add/anonymous-293/Watson/1,1,0,181.58886,181.58886,181.58886,181.58886,106,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-294/EMM/1,1,0,175.950905,175.950905,175.950905,175.950905,137,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-294/STAN-1/1,1,0,182.223993,182.223993,182.223993,182.223993,201,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-295/SHCE/1,1,0,176.58268,176.58268,176.58268,176.58268,124,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-295/STAN-1/1,1,0,179.993498,179.993498,179.993498,179.993498,203,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-296/EPE/1,1,0,180.89463,180.89463,180.89463,180.89463,129,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-296/RMC/1,1,0,181.094444,181.094444,181.094444,181.094444,207,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-297/STAN-1/1,1,0,175.570551,175.570551,175.570551,175.570551,111,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-297/UHJ/1,1,0,177.169975,177.169975,177.169975,177.169975,191,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/cart/add/anonymous-298/EPE/1,1,0,181.491434,181.491434,181.491434,181.491434,129,0.003347595,0,180,180,180,180,180,180,180,180,180,180,180
